,close,ret
2017/5/9,2316.29,-0.42
2017/5/8,2326.1,0.24
2017/5/5,2320.6,-0.21
2017/5/4,2325.43,-0.19
2017/5/3,2329.77,-0.3
2017/5/2,2336.79,-0.44
2017/4/28,2347.04,-0.2
2017/4/27,2351.64,0.3
2017/4/26,2344.5,-0.01
2017/4/25,2344.74,0.12
2017/4/24,2341.93,-0.24
2017/4/21,2347.67,0.51
2017/4/20,2335.65,0.46
2017/4/19,2325.04,-0.53
2017/4/18,2337.35,-0.86
2017/4/17,2357.52,0.09
2017/4/14,2355.52,-0.53
2017/4/13,2368.11,-0.45
2017/4/12,2378.86,-0.14
2017/4/11,2382.11,0.12
2017/4/10,2379.16,-0.38
2017/4/7,2388.27,-0.09
2017/4/6,2390.39,0.26
2017/4/5,2384.26,1.04
2017/3/31,2359.75,0.56
2017/3/30,2346.67,-0.26
2017/3/29,2352.69,-0.15
2017/3/28,2356.31,-0.34
2017/3/27,2364.43,-0.05
2017/3/24,2365.6,0.77
2017/3/23,2347.43,0.38
2017/3/22,2338.55,-0.79
2017/3/21,2357.14,0.3
2017/3/20,2350.07,0.13
2017/3/17,2346.96,-0.94
2017/3/16,2369.19,0.5
2017/3/15,2357.31,0.1
2017/3/14,2354.9,0
2017/3/13,2354.89,0.67
2017/3/10,2339.23,-0.31
2017/3/9,2346.55,-0.49
2017/3/8,2358.07,0.08
2017/3/7,2356.29,0.27
2017/3/6,2349.89,0.12
2017/3/3,2347.15,-0.33
2017/3/2,2354.91,-0.72
2017/3/1,2371.93,0.05
2017/2/28,2370.71,0.01
2017/2/27,2370.56,-0.81
2017/2/24,2389.88,0.1
2017/2/23,2387.42,-0.45
2017/2/22,2398.19,0.05
2017/2/21,2396.88,0.12
2017/2/20,2394.12,1.33
2017/2/17,2362.71,-0.59
2017/2/16,2376.76,0.19
2017/2/15,2372.19,-0.06
2017/2/14,2373.51,-0.24
2017/2/13,2379.31,0.47
2017/2/10,2368.18,0.56
2017/2/9,2354.9,0.36
2017/2/8,2346.43,0.38
2017/2/7,2337.53,-0.27
2017/2/6,2343.97,0.17
2017/2/3,2339.99,-1.02
2017/1/26,2364.02,0.23
2017/1/25,2358.7,0.27
2017/1/24,2352.42,0.23
2017/1/23,2347.1,0
2017/1/20,2347.18,0.52
2017/1/19,2334.96,-0.33
2017/1/18,2342.78,0.57
2017/1/17,2329.6,-0.33
2017/1/16,2337.39,1.27
2017/1/13,2308.06,0.55
2017/1/12,2295.4,-0.22
2017/1/11,2300.47,-0.52
2017/1/10,2312.6,-0.25
2017/1/9,2318.34,0.41
2017/1/6,2308.94,-0.59
2017/1/5,2322.68,0.02
2017/1/4,2322.21,0.62
2017/1/3,2307.89,0.92
2016/12/30,2286.9,0.52
2016/12/29,2275.11,-0.09
2016/12/28,2277.18,-0.43
2016/12/27,2286.96,-0.34
2016/12/26,2294.71,0.71
2016/12/23,2278.48,-0.59
2016/12/22,2292.04,-0.23
2016/12/21,2297.37,0.78
2016/12/20,2279.68,-0.51
2016/12/19,2291.38,-0.47
2016/12/16,2302.32,-0.32
2016/12/15,2309.82,-2.14
2016/12/14,2360.38,-0.53
2016/12/13,2372.93,-0.6
2016/12/12,2387.16,-1
2016/12/9,2411.31,1.36
2016/12/8,2379,0.09
2016/12/7,2376.92,0.35
2016/12/6,2368.68,-0.28
2016/12/5,2375.26,-1.71
2016/12/2,2416.51,-0.61
2016/12/1,2431.31,0.49
2016/11/30,2419.41,-0.91
2016/11/29,2441.58,1.6
2016/11/28,2403.14,0.38
2016/11/25,2393.95,1.06
2016/11/24,2368.73,0.36
2016/11/23,2360.34,0.31
2016/11/22,2353,0.78
2016/11/21,2334.68,1.19
2016/11/18,2307.27,-0.41
2016/11/17,2316.72,0.29
2016/11/16,2309.94,-0.04
2016/11/15,2310.9,-0.3
2016/11/14,2317.77,0.4
2016/11/11,2308.43,0.83
2016/11/10,2289.45,1.13
2016/11/9,2263.92,-0.81
2016/11/8,2282.42,0.24
2016/11/7,2276.95,0.22
2016/11/4,2271.93,-0.08
2016/11/3,2273.63,1.29
2016/11/2,2244.74,-0.83
2016/11/1,2263.48,0.58
2016/10/31,2250.47,-0.15
2016/10/28,2253.8,0.16
2016/10/27,2250.26,-0.3
